ad_id,title,property_type,listing_type,location,district,detailed_address,price_lkr,price_type,bedrooms,bathrooms,land_size,land_size_unit,property_size_sqft,description,posted_date,posted_by,url,scraped_at
AD100001,Blue Ocean – 2 Bedroom Apartment in Galle City,Apartment,Sale,Galle City,Galle,"Galle City, Galle",22446000,Total Price,2,2,,,962,Sea-facing apartment with beach access. Restaurant and spa on-site. Fully Furnished. Amenities: Gym. Located on floor 13.,2025-11-06,Owner,https://properties.lk/apartment/100001,2026-02-22 21:23:18
AD100002,ITC One – 2 Bedroom Apartment in Wattala,Apartment,Sale,Wattala,Gampaha,"Wattala, Gampaha",24982000,Total Price,2,1,,,932,Modern apartment with stunning views. Well-maintained and ready to move in. Amenities: Gym and Pool. Located on floor 21.,2025-10-27,Developer,https://properties.lk/apartment/100002,2026-02-22 21:23:18
AD100003,3 Bedroom Apartment for Sale in Nugegoda,Apartment,Sale,Nugegoda,Colombo,"Nugegoda, Colombo",58029000,Total Price,3,3,,,1631,Spacious luxury apartment in prime location. Close to schools and shopping. Parking available. Amenities: Gym. Located on floor 13.,2025-11-16,Agent,https://properties.lk/apartment/100003,2026-02-22 21:23:18
AD100004,2 Bedroom Apartment for Sale in Battaramulla,Apartment,Sale,Battaramulla,Gampaha,"Battaramulla, Gampaha",20404000,Total Price,2,2,,,787,Newly built apartment with all modern amenities. Swimming pool and gym. Semi Furnished. Amenities: Gym. Located on floor 3.,2025-10-26,Agent,https://properties.lk/apartment/100004,2026-02-22 21:23:18
AD100005,4 Bedroom Apartment for Sale in Havelock Town,Apartment,Sale,Havelock Town,Colombo,"Havelock Town, Colombo",66558000,Total Price,4,4,,,1300,Fully furnished apartment with parking. 24/7 security. Semi Furnished. Amenities: Gym and Pool. Located on floor 3.,2025-09-07,Agent,https://properties.lk/apartment/100005,2026-02-22 21:23:18
AD100006,Blue Ocean – 2 Bedroom Apartment in Mount Lavinia,Apartment,Sale,Mount Lavinia,Colombo,"Mount Lavinia, Colombo",109217000,Total Price,2,2,,,1425,Spacious luxury apartment in prime location. Close to schools and shopping. Semi Furnished. Located on floor 13.,2026-02-09,Owner,https://properties.lk/apartment/100006,2026-02-22 21:23:18
AD100007,4 Bedroom Apartment for Rent in Colombo 06,Apartment,Rent,Colombo 06,Colombo,"Colombo 06, Colombo",741000,Per Month,4,4,,,2059,Penthouse apartment with rooftop terrace. Panoramic city views. Fully Furnished. Amenities: Gym and Pool.,2026-01-24,Agent,https://properties.lk/apartment/100007,2026-02-22 21:23:18
AD100008,5 Bedroom Apartment for Sale in Maharagama,Apartment,Sale,Maharagama,Gampaha,"Maharagama, Gampaha",53074000,Total Price,5,4,,,2512,Newly built apartment with all modern amenities. Swimming pool and gym. Amenities: Gym. Located on floor 39.,2025-11-18,Owner,https://properties.lk/apartment/100008,2026-02-22 21:23:18
AD100009,4 Bedroom Apartment for Sale in Battaramulla,Apartment,Sale,Battaramulla,Gampaha,"Battaramulla, Gampaha",31883000,Total Price,4,4,,,950,Budget-friendly apartment near public transport. Well-connected area. Semi Furnished. Parking available. Amenities: Gym. Located on floor 18.,2026-02-01,Owner,https://properties.lk/apartment/100009,2026-02-22 21:23:18
AD100010,Blue Ocean – 2 Bedroom Apartment in Panadura,Apartment,Sale,Panadura,Kalutara,"Panadura, Kalutara",44568000,Total Price,2,1,,,1031,Duplex apartment with high ceilings. Premium finishes throughout. Amenities: Gym and Pool. Located on floor 11.,2025-10-12,Agent,https://properties.lk/apartment/100010,2026-02-22 21:23:18
AD100011,Havelock City – 3 Bedroom Apartment in Colombo 08,Apartment,Sale,Colombo 08,Colombo,"Colombo 08, Colombo",97614000,Total Price,3,3,,,1126,Semi-furnished apartment with balcony. Great for families. Fully Furnished. Amenities: Gym. Located on floor 20.,2025-09-03,Agent,https://properties.lk/apartment/100011,2026-02-22 21:23:18
AD100012,Blue Ocean – 2 Bedroom Apartment in Colombo 05,Apartment,Rent,Colombo 05,Colombo,"Colombo 05, Colombo",185000,Per Month,2,2,,,590,Penthouse apartment with rooftop terrace. Panoramic city views. Fully Furnished. Parking available. Located on floor 2.,2026-01-25,Owner,https://properties.lk/apartment/100012,2026-02-22 21:23:18
AD100013,Cinnamon Life – 2 Bedroom Apartment in Havelock Town,Apartment,Rent,Havelock Town,Colombo,"Havelock Town, Colombo",454000,Per Month,2,2,,,1057,Spacious luxury apartment in prime location. Close to schools and shopping. Fully Furnished. Parking available. Amenities: Swimming Pool. Located on floor 34.,2025-12-23,Owner,https://properties.lk/apartment/100013,2026-02-22 21:23:18
AD100014,3 Bedroom Apartment for Sale in Maharagama,Apartment,Sale,Maharagama,Gampaha,"Maharagama, Gampaha",23863000,Total Price,3,3,,,1134,Newly built apartment with all modern amenities. Swimming pool and gym. Located on floor 28.,2026-01-04,Agent,https://properties.lk/apartment/100014,2026-02-22 21:23:18
AD100015,5 Bedroom Apartment for Sale in Colombo 02,Apartment,Sale,Colombo 02,Colombo,"Colombo 02, Colombo",132924000,Total Price,5,5,,,1773,Newly built apartment with all modern amenities. Swimming pool and gym. Semi Furnished. Parking available. Amenities: Swimming Pool. Located on floor 32.,2026-02-04,Developer,https://properties.lk/apartment/100015,2026-02-22 21:23:18
AD100016,1 Bedroom Apartment for Rent in Colombo 08,Apartment,Rent,Colombo 08,Colombo,"Colombo 08, Colombo",82000,Per Month,1,1,,,400,Penthouse apartment with rooftop terrace. Panoramic city views. Amenities: Gym. Located on floor 36.,2025-12-22,Agent,https://properties.lk/apartment/100016,2026-02-22 21:23:18
AD100017,3 Bedroom Apartment for Rent in Colombo 10,Apartment,Rent,Colombo 10,Colombo,"Colombo 10, Colombo",334000,Per Month,3,3,,,1828,Spacious luxury apartment in prime location. Close to schools and shopping. Parking available. Amenities: Gym and Pool. Located on floor 12.,2025-12-21,Agent,https://properties.lk/apartment/100017,2026-02-22 21:23:18
AD100018,Capitol TwinPeaks – 4 Bedroom Apartment in Mount Lavinia,Apartment,Sale,Mount Lavinia,Colombo,"Mount Lavinia, Colombo",101078000,Total Price,4,3,,,1383,Semi-furnished apartment with balcony. Great for families. Fully Furnished. Amenities: Gym. Located on floor 6.,2025-12-11,Developer,https://properties.lk/apartment/100018,2026-02-22 21:23:18
